job_title,company_name,company_location,total_salary,City,State,link
Python Developer,Fuevation Technology Solutions Pvt Ltd.,"Gurgaon, Haryana",500000.0,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=3d13bb2dd59bf2fe&bb=wqLZZ5F-RU3Fhih0Fv_63S-fLhgPG-6FX7iRyJNaF3CSHFGlM9c1npaEp5Iu7Fre&xkcb=SoA367M3G1HMj1RZTZ0LbzkdCdPP&fccid=4032b3577fd320d0&cmp=Fuevation-Technologies-LLP&ti=Python+Developer&vjs=3
Python Developer,Kodehash Technologies Pvt Ltd,"Gurgaon, Haryana",1250000.0,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=27274b8f0040abbe&bb=rZWUjKPWgS_AsUEPlR9cNV4RKXhDw4MjhCrfnPiuauqDOvijJDQiS93PlUZLzGkR&xkcb=SoDG67M3G1HMj1xZTZ0KbzkdCdPP&fccid=a965712a62c1b4cb&cmp=Kodehash-Technologies-Pvt-Ltd&ti=Python+Developer&vjs=3
Python Developer & Data,iXceed Solutions,"Gurgaon, Haryana",2500000.0,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=e8527199acd1ac12&bb=5nuW6vHGNoSXUUANsH2R0IR7IJh8BbGtzk4hMkEJKdMQTu7L-LduwR_Ts3Uu6INX&xkcb=SoD867M3G1HMj0RZTZ0LbzkdCdPP&fccid=0098b51334dc7c7a&cmp=iXceed-Solutions&ti=Python+Developer&vjs=3
Python Developer,Beadcore Infotech Private Limited,"New Delhi, Delhi",466712.25,New Delhi,Delhi,https://in.indeed.com/rc/clk?jk=c644553992b3bc79&bb=5nuW6vHGNoQvnPXwz_VSiUBiQvDCyytNaEw3oJwCC-1mEweZ5-kQkfsugyzNbUkQ&xkcb=SoDV67M3G1HMj0RZTZ0JbzkdCdPP&fccid=e03c12061ce0f545&cmp=Beadcore-Infotech-Private-Limited&ti=Python+Developer&vjs=3
Sr. Python Developer,iXceed Solutions,"Gurgaon, Haryana",2500000.0,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=842eac34ce8e1756&bb=33O14p_0NbaA3dz31gIlvoh7Xi1owlRtIeksFjGmejZlWAhQfCHXuo1qHp839-2G&xkcb=SoAN67M3G1HMj0xZTZ0KbzkdCdPP&fccid=0098b51334dc7c7a&cmp=iXceed-Solutions&ti=Python+Developer&vjs=3
Python Developer (Gurgaon),SS Supply Chain Solutions,"Gurgaon, Haryana",525000.0,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=6dd52539f813e35a&bb=33O14p_0NbYdAHfFZHlWWKhZYO3MXXHmLm9oCQqKS2Uk7P1kv73Q9HrzFBa6OxTe&xkcb=SoAk67M3G1HMj0xZTZ0IbzkdCdPP&fccid=badaebc4bd06db71&vjs=3
Python/Django Developer,Vaanee AI,"Delhi, Delhi",866997.36,Delhi,Delhi,https://in.indeed.com/rc/clk?jk=5bd70e451270cf4b&bb=UduamNeJGHg90sk1YDDiugSTPsFKTI9nOKLdKsiInWpMoYU_hPdUr7i5qLfRCWFV&xkcb=SoDg67M3G1HMj3RZTZ0LbzkdCdPP&fccid=1fd1b58af3c51aba&cmp=Vaanee-AI&ti=Python+Developer&vjs=3
"Python Developer , Associate",BlackRock,"Gurgaon, Gurugram, Haryana",Not Applicable,Gurgaon,Gurugram,https://in.indeed.com/rc/clk?jk=949d3f417668da20&bb=UduamNeJGHgOPvxaZKZKD8GX9XuE4_DDCGtVVduUUnSXfhPp_IBFQIkwftECfT-X&xkcb=SoDJ67M3G1HMj3RZTZ0JbzkdCdPP&fccid=58c732f14833248a&vjs=3
Python Developer,Book2save Pvt. Ltd.,"New Delhi, Delhi",540000.0,New Delhi,Delhi,https://in.indeed.com/rc/clk?jk=d13818693b3baec4&bb=_LP3MRUKWZ8iU2NWaDJWLCM0p56_kHl-HsPGHs5MsHxJl4e5ClLZ4fUZ9bVO7bOm&xkcb=SoCl67M3G1HMj3xZTZ0LbzkdCdPP&fccid=889d7b80bef81e64&cmp=Book2save-Pvt.-Ltd.&ti=Python+Developer&vjs=3
Python Developer,Webority Technologies,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=a97d63d5a3196368&bb=_LP3MRUKWZ-8SrYUPKB6cKcXpVGabC55DQ339Tp1xcmKN8DF4xT8rEX5JWISP-e1&xkcb=SoAC67M3G1HMj3xZTZ0ObzkdCdPP&fccid=14b97ea2564a9a87&vjs=3
Python Developer,Ahom Technologies,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=36153044b7489957&bb=_LP3MRUKWZ_AMlXZlQGpw77SZZzEtga6llXV2qAUkuo8csz9NsvU4MMgNkd_ogBe&xkcb=SoAr67M3G1HMj3xZTZ0MbzkdCdPP&fccid=35141b4ca5823786&vjs=3
Python/Django Developer,Corewave Tech Pvt. Ltd.,"New Delhi, Delhi",300000.0,New Delhi,Delhi,https://in.indeed.com/rc/clk?jk=984514eb79accfcd&bb=REB1yCkGaZYeGEuu93LufnmSxZ7rpJZ_TxWBIZMU0suyXeuv6ezCCfbw4si7SRQp&xkcb=SoCf67M3G1HMj2RZTZ0KbzkdCdPP&fccid=ce3f84e6c3e52f69&cmp=Corewave-Tech-Pvt.-Ltd.&ti=Python+Developer&vjs=3
Python Developer,Zenga TV,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=722143d5e3a5ee0b&bb=REB1yCkGaZYp0AM073UFEnoxK51QOj8jDvDd2U8zf8vVMgog40Wq4aFgLRRH2kbM&xkcb=SoC267M3G1HMj2RZTZ0IbzkdCdPP&fccid=2ad26ca636f580b8&vjs=3
Python Developer,Square Yards Consulting,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=dbbf82d220e0a064&bb=REB1yCkGaZZPX7uEGC-E-nt8YkTlg11zuAxDTrmQBUtZLIDAUOXcasfJTa2ksfro&xkcb=SoAR67M3G1HMj2RZTZ0NbzkdCdPP&fccid=c1599d42c2b4bc88&vjs=3
Python Developer,Intrics Solutions Pvt Ltd,"Noida, Uttar Pradesh",342000.0,Noida,Uttar Pradesh,https://in.indeed.com/rc/clk?jk=8455335e300c214f&bb=I0sF6gHux0xuJR4oYwdf9daynbY0rGWkYzfA84ihFm_QESO-_5Gp-g4Beln9fSpV&xkcb=SoBu67M3G1HMj2xZTZ0LbzkdCdPP&fccid=aab2c9cc1e2505d0&cmp=Intrics-Solutions-Pvt-Ltd&ti=Python+Developer&vjs=3
